,Country,Date_confirmation,case
0,Andorra,2022-08-08,4
1,Argentina,2022-08-03,32
2,Australia,2022-08-04,58
3,Austria,2022-08-05,160
4,Barbados,2022-07-16,1
5,Belgium,2022-08-01,482
6,Benin,2022-06-14,3
7,Bermuda,2022-07-21,1
8,Bolivia,2022-08-06,5
9,Bosnia And Herzegovina,2022-07-13,1
10,Brazil,2022-08-05,2004
11,Bulgaria,2022-07-22,4
12,Cameroon,2022-07-17,7
13,Canada,2022-08-05,957
14,Central African Republic,2022-05-19,8
15,Chile,2022-08-04,91
16,China,2022-07-12,2
17,Colombia,2022-08-05,26
18,Costa Rica,2022-07-26,3
19,Croatia,2022-08-01,12
20,Cyprus,2022-08-06,3
21,Czech Republic,2022-08-08,26
22,Democratic Republic Of The Congo,2022-07-28,163
23,Denmark,2022-08-08,123
24,Dominican Republic,2022-08-03,4
25,Ecuador,2022-08-04,7
26,England,2022-08-04,2730
27,Estonia,2022-08-08,9
28,Finland,2022-08-04,22
29,France,2022-08-04,2423
30,Georgia,2022-06-15,1
31,Germany,2022-08-08,2916
32,Ghana,2022-08-08,36
33,Gibraltar,2022-07-18,5
34,Greece,2022-08-05,39
35,Guadeloupe,2022-07-25,1
36,Guatemala,2022-08-04,2
37,Hungary,2022-08-03,42
38,Iceland,2022-07-29,10
39,India,2022-08-03,9
40,Ireland,2022-08-03,97
41,Israel,2022-08-07,166
42,Italy,2022-08-05,545
43,Jamaica,2022-08-05,3
44,Japan,2022-07-28,2
45,Latvia,2022-07-21,3
46,Lebanon,2022-08-08,6
47,Liberia,2022-07-23,1
48,Lithuania,2022-08-04,3
49,Luxembourg,2022-08-05,31
50,Malta,2022-07-21,17
51,Martinique,2022-07-15,1
52,Mexico,2022-07-31,91
53,Montenegro,2022-08-01,1
54,Morocco,2022-06-02,1
55,Netherlands,2022-08-08,959
56,New Caledonia,2022-07-12,1
57,New Zealand,2022-08-02,3
58,Nigeria,2022-07-24,133
59,Northern Ireland,2022-08-04,25
60,Norway,2022-08-08,66
61,Panama,2022-07-05,1
62,Peru,2022-08-05,409
63,Philippines,2022-07-28,1
64,Poland,2022-08-03,63
65,Portugal,2022-08-03,710
66,Puerto Rico,2022-08-05,30
67,Qatar,2022-07-24,2
68,Republic of Congo,2022-04-12,2
69,Romania,2022-08-03,22
70,Russia,2022-07-12,1
71,Saint Martin (French part),2022-08-01,1
72,Saudi Arabia,2022-08-08,5
73,Scotland,2022-08-04,67
74,Serbia,2022-07-26,10
75,Singapore,2022-08-05,15
76,Slovakia,2022-08-05,8
77,Slovenia,2022-08-05,38
78,South Africa,2022-07-11,3
79,South Korea,2022-06-22,1
80,Spain,2022-08-05,4942
81,Sudan,2022-07-31,1
82,Sweden,2022-08-04,111
83,Switzerland,2022-08-05,316
84,Taiwan,2022-07-12,2
85,Thailand,2022-08-05,4
86,Turkey,2022-08-02,5
87,United Arab Emirates,2022-07-24,16
88,United States,2022-08-05,7492
89,Uruguay,2022-08-03,2
90,Venezuela,2022-06-12,1
91,Wales,2022-08-04,37
