,Country,Date_confirmation,case
0,Andorra,2022-07-26,3
1,Argentina,2022-08-03,32
2,Australia,2022-08-02,54
3,Austria,2022-08-05,160
4,Barbados,2022-07-16,1
5,Belgium,2022-08-01,482
6,Benin,2022-06-14,3
7,Bermuda,2022-07-21,1
8,Bolivia,2022-08-03,3
9,Bosnia And Herzegovina,2022-07-13,1
10,Brazil,2022-08-03,1721
11,Bulgaria,2022-07-22,4
12,Cameroon,2022-07-17,7
13,Canada,2022-08-02,892
14,Central African Republic,2022-05-19,8
15,Chile,2022-08-01,68
16,China,2022-07-12,2
17,Colombia,2022-08-05,26
18,Costa Rica,2022-07-26,3
19,Croatia,2022-08-01,12
20,Cyprus,2022-08-02,1
21,Czech Republic,2022-08-03,25
22,Democratic Republic Of The Congo,2022-07-28,163
23,Denmark,2022-08-04,108
24,Dominican Republic,2022-08-03,4
25,Ecuador,2022-08-04,7
26,England,2022-08-01,2551
27,Estonia,2022-07-29,8
28,Finland,2022-08-03,20
29,France,2022-08-02,2239
30,Georgia,2022-06-15,1
31,Germany,2022-08-05,2887
32,Ghana,2022-07-28,35
33,Gibraltar,2022-07-18,5
34,Greece,2022-08-03,33
35,Guadeloupe,2022-07-25,1
36,Guatemala,2022-08-03,1
37,Hungary,2022-08-03,42
38,Iceland,2022-07-29,10
39,India,2022-08-02,8
40,Ireland,2022-08-03,97
41,Israel,2022-08-04,160
42,Italy,2022-08-05,545
43,Jamaica,2022-07-24,2
44,Japan,2022-07-28,2
45,Latvia,2022-07-21,3
46,Lebanon,2022-07-21,4
47,Liberia,2022-07-23,1
48,Lithuania,2022-08-03,1
49,Luxembourg,2022-08-02,30
50,Malta,2022-07-21,17
51,Martinique,2022-07-15,1
52,Mexico,2022-07-31,91
53,Montenegro,2022-08-01,1
54,Morocco,2022-06-02,1
55,Netherlands,2022-08-04,957
56,New Caledonia,2022-07-12,1
57,New Zealand,2022-08-02,3
58,Nigeria,2022-07-24,133
59,Northern Ireland,2022-08-01,24
60,Norway,2022-08-05,65
61,Panama,2022-07-05,1
62,Peru,2022-08-03,340
63,Philippines,2022-07-28,1
64,Poland,2022-08-03,63
65,Portugal,2022-08-03,710
66,Puerto Rico,2022-07-29,21
67,Qatar,2022-07-24,2
68,Republic of Congo,2022-04-12,2
69,Romania,2022-08-03,22
70,Russia,2022-07-12,1
71,Saudi Arabia,2022-07-31,4
72,Scotland,2022-08-01,65
73,Serbia,2022-07-26,10
74,Singapore,2022-08-05,15
75,Slovakia,2022-07-29,6
76,Slovenia,2022-08-05,38
77,South Africa,2022-07-11,3
78,South Korea,2022-06-22,1
79,Spain,2022-08-05,4942
80,Sudan,2022-07-31,1
81,Sweden,2022-08-04,111
82,Switzerland,2022-08-05,316
83,Taiwan,2022-07-12,2
84,Thailand,2022-08-05,4
85,Turkey,2022-06-30,1
86,United Arab Emirates,2022-07-24,16
87,United States,2022-08-04,7084
88,Uruguay,2022-08-03,2
89,Venezuela,2022-06-12,1
90,Wales,2022-08-01,32
