,Country,Date_confirmation,case
0,Argentina,2022-07-22,18
1,Australia,2022-07-24,44
2,Austria,2022-07-22,99
3,Barbados,2022-07-16,1
4,Belgium,2022-07-18,311
5,Benin,2022-06-14,3
6,Bermuda,2022-07-21,1
7,Bosnia And Herzegovina,2022-07-13,1
8,Brazil,2022-07-25,813
9,Bulgaria,2022-06-27,3
10,Cameroon,2022-06-26,6
11,Canada,2022-07-22,681
12,Central African Republic,2022-05-19,8
13,Chile,2022-07-26,45
14,Colombia,2022-07-19,10
15,Costa Rica,2022-07-20,1
16,Croatia,2022-07-21,7
17,Czech Republic,2022-07-21,14
18,Democratic Republic Of The Congo,2022-06-05,107
19,Denmark,2022-07-27,71
20,Dominican Republic,2022-07-20,3
21,Ecuador,2022-07-19,2
22,England,2022-07-25,2325
23,Estonia,2022-07-18,4
24,Finland,2022-07-11,13
25,France,2022-07-21,1562
26,Georgia,2022-06-15,1
27,Germany,2022-07-26,2410
28,Ghana,2022-06-14,18
29,Gibraltar,2022-07-18,5
30,Greece,2022-07-21,20
31,Hungary,2022-07-21,33
32,Iceland,2022-07-07,6
33,India,2022-07-18,2
34,Ireland,2022-07-20,69
35,Israel,2022-07-26,121
36,Italy,2022-07-26,426
37,Jamaica,2022-07-24,2
38,Japan,2022-07-25,1
39,Latvia,2022-07-21,3
40,Lebanon,2022-06-20,1
41,Luxembourg,2022-07-21,14
42,Malta,2022-07-21,17
43,Martinique,2022-07-15,1
44,Mexico,2022-07-26,60
45,Morocco,2022-06-02,1
46,Netherlands,2022-07-26,818
47,New Zealand,2022-07-12,2
48,Nigeria,2022-07-10,101
49,Northern Ireland,2022-07-25,18
50,Norway,2022-07-27,50
51,Panama,2022-07-05,1
52,Peru,2022-07-25,208
53,Poland,2022-07-21,40
54,Portugal,2022-07-20,588
55,Puerto Rico,2022-07-22,13
56,Qatar,2022-07-20,1
57,Republic of Congo,2022-04-12,2
58,Romania,2022-07-23,20
59,Russia,2022-07-12,1
60,Saudi Arabia,2022-07-25,3
61,Scotland,2022-07-25,59
62,Serbia,2022-07-21,5
63,Singapore,2022-07-26,10
64,Slovakia,2022-07-21,3
65,Slovenia,2022-07-20,27
66,South Africa,2022-07-11,3
67,South Korea,2022-06-22,1
68,Spain,2022-07-26,3738
69,Sweden,2022-07-21,77
70,Switzerland,2022-07-26,238
71,Taiwan,2022-07-12,2
72,Turkey,2022-06-30,1
73,United Arab Emirates,2022-07-24,16
74,United States,2022-07-25,3480
75,Venezuela,2022-06-12,1
76,Wales,2022-07-25,30
