,Country,Date_confirmation,case
0,Argentina,2022-06-09,3
1,Australia,2022-06-09,8
2,Austria,2022-06-13,3
3,Belgium,2022-06-08,24
4,Brazil,2022-06-11,3
5,Canada,2022-06-14,158
6,Czech Republic,2022-06-02,6
7,Denmark,2022-06-10,4
8,England,2022-06-12,452
9,Finland,2022-06-09,3
10,France,2022-06-09,91
11,Germany,2022-06-14,228
12,Ghana,2022-06-08,5
13,Gibraltar,2022-06-01,1
14,Greece,2022-06-08,1
15,Hungary,2022-05-31,1
16,Ireland,2022-06-10,9
17,Israel,2022-06-09,4
18,Italy,2022-06-14,38
19,Latvia,2022-06-09,2
20,Malta,2022-05-28,1
21,Mexico,2022-06-11,2
22,Morocco,2022-06-02,1
23,Netherlands,2022-06-14,80
24,Northern Ireland,2022-05-30,2
25,Norway,2022-06-01,2
26,Poland,2022-06-10,1
27,Portugal,2022-06-14,231
28,Romania,2022-06-13,1
29,Scotland,2022-06-09,12
30,Slovenia,2022-06-13,7
31,Spain,2022-06-14,313
32,Sweden,2022-06-10,6
33,Switzerland,2022-06-14,20
34,United Arab Emirates,2022-06-07,13
35,United States,2022-06-13,65
36,Venezuela,2022-06-12,1
37,Wales,2022-06-09,4
